entry_id,date,amount,account_code,memo,vendor_id,journal_ref,created_by
GL_150,2026-08-18,2189.21,ACC_5010,Booking for Multi Corp,VEND_30,JRN-6981,maryramirez
GL_151,2026-08-13,243.04,ACC_5020,Booking for Gekko Capital,VEND_40,JRN-7162,rsims
GL_152,2026-08-07,1463.89,ACC_7020,Booking for Cyberdyne Systems,VEND_05,JRN-3353,sjones
GL_153,2026-08-18,1016.1,ACC_5010,Booking for Oceanic Freight,VEND_21,JRN-3800,josephflores
GL_154,2026-08-20,2023.47,ACC_5020,Booking for Soylent Industries,VEND_08,JRN-4668,taylorjesse
GL_155,2026-08-20,945.38,ACC_8020,Booking for Buy n Large Corp,VEND_20,JRN-6722,jasminebrown
GL_156,2026-08-08,1596.36,ACC_6010,Booking for Hooli Services,VEND_12,JRN-3608,drivera
GL_157,2026-08-19,1980.18,ACC_5010,Booking for Hooli Services,VEND_12,JRN-7444,abrown
GL_158,2026-08-10,787.45,ACC_8020,Booking for Oceanic Freight,VEND_21,JRN-6997,lstein
GL_159,2026-08-05,1056.13,ACC_5010,Booking for Weyland Industries,VEND_25,JRN-6489,gateskathy
GL_160,2026-08-23,4217.34,ACC_6020,Booking for Veridian Dynamics,VEND_32,JRN-7634,wwoods
GL_161,2026-08-09,1201.73,ACC_7020,Booking for Massive Dynamic,VEND_19,JRN-3463,karen68
GL_162,2026-08-09,3898.05,ACC_5010,Booking for Tyrell Systems,VEND_24,JRN-9566,tracynelson
GL_163,2026-08-25,3623.0,ACC_5020,Booking for  Freight,VEND_35,JRN-2191,vjohnson
GL_164,2026-08-15,1387.79,ACC_7020,Booking for Initech Solutions,VEND_06,JRN-3273,dramsey
GL_165,2026-08-08,1129.54,ACC_6020,Booking for Bachman Electric,VEND_38,JRN-1646,tinaferguson
GL_166,2026-08-22,3200.58,ACC_5020,Booking for Pied Piper Tech,VEND_11,JRN-8044,qvargas
GL_167,2026-08-09,4046.66,ACC_8010,Booking for Lestrade & Co,VEND_37,JRN-1264,millerroy
GL_168,2026-08-23,1533.91,ACC_5020,Booking for Lestrade & Co,VEND_37,JRN-3078,qwhite
GL_169,2026-08-02,4963.18,ACC_5010,Booking for Vandelay Trading,VEND_09,JRN-6421,dmurphy
GL_170,2026-08-16,796.64,ACC_5010,Booking for Rekall Solutions,VEND_18,JRN-4765,matthew64
GL_171,2026-08-17,3774.03,ACC_8010,Booking for Tyrell Systems,VEND_24,JRN-8096,fking
GL_172,2026-08-21,3355.32,ACC_6020,Booking for Delos Hospitality,VEND_23,JRN-3129,ismith
GL_173,2026-08-13,1169.14,ACC_6010,Booking for InGen Biotech,VEND_28,JRN-9391,cookemichael
GL_174,2026-08-18,2930.57,ACC_6020,Booking for Lestrade & Co,VEND_37,JRN-6681,harringtondenise
GL_175,2026-08-22,3836.3,ACC_8010,Booking for Stark Logistics,VEND_03,JRN-8501,herringjames
GL_176,2026-08-15,179.78,ACC_6010,Booking for Pied Piper Tech,VEND_11,JRN-8231,howelljohn
GL_177,2026-08-21,1579.14,ACC_5010,Booking for Rekall Solutions,VEND_18,JRN-6848,kcaldwell
GL_178,2026-08-02,2042.07,ACC_5020,Booking for Buy n Large Corp,VEND_20,JRN-4854,stevenscott
GL_179,2026-08-14,3311.88,ACC_8010,Booking for Umbrella Corp,VEND_07,JRN-7580,gary91
GL_181,2026-08-14,3500.75,ACC_7020,Booking for Frobozz Electric,VEND_31,JRN-7397,tamirodriguez
GL_182,2026-08-12,4417.25,ACC_5020,Booking for Vandelay Trading,VEND_09,JRN-1429,hickmanbarbara
GL_183,2026-08-05,3243.72,ACC_8010,Booking for Dunder Supplies,VEND_10,JRN-8405,tsanders
GL_184,2026-08-12,3639.92,ACC_6020,Booking for Dunder Supplies,VEND_10,JRN-7233,charlesvaughn
GL_186,2026-08-08,1457.14,ACC_8020,Booking for Initech Solutions,VEND_06,JRN-2277,curtisbarton
GL_187,2026-08-22,4391.55,ACC_8010,Booking for Los Pollos Dist.,VEND_14,JRN-2040,hoganashlee
GL_188,2026-08-26,4499.77,ACC_7020,Booking for Sterling Cooper,VEND_16,JRN-9108,reedross
GL_189,2026-08-01,4935.72,ACC_8010,Booking for Oceanic Freight,VEND_21,JRN-9719,casey50
GL_190,2026-08-19,2162.23,ACC_7020,Booking for  Freight,VEND_35,JRN-7299,gshort
GL_191,2026-08-25,457.66,ACC_8020,Booking for Bachman Electric,VEND_38,JRN-3456,oyu
GL_192,2026-08-17,1503.79,ACC_8020,Booking for Momcorp Industries,VEND_33,JRN-8151,bzimmerman
GL_193,2026-08-18,3118.63,ACC_8010,Booking for Rekall Solutions,VEND_18,JRN-9146,jessicasheppard
GL_194,2026-08-11,2014.58,ACC_8020,Booking for Cyberdyne Systems,VEND_05,JRN-3521,christina87
GL_195,2026-08-03,4630.68,ACC_5020,Booking for Soylent Industries,VEND_08,JRN-6244,ugraham
GL_196,2026-08-01,3568.71,ACC_8010,Booking for ACME Corp,VEND_01,JRN-4213,marcus31
GL_197,2026-08-17,2634.39,ACC_7020,Booking for Nakatomi Trading,VEND_17,JRN-1625,nicole37
GL_198,2026-08-11,4054.83,ACC_8010,Booking for Rekall Solutions,VEND_18,JRN-6214,frogers
GL_199,2026-08-15,2602.83,ACC_8020,Booking for Wayne Enterprises,VEND_04,JRN-9591,hunter35
GL_200,2026-08-19,3403.19,ACC_5010,Booking for Soylent Industries,VEND_08,JRN-7530,matthew94
GL_201,2026-08-02,2411.65,ACC_8020,Booking for Weyland Industries,VEND_25,JRN-4051,blackjames
GL_202,2026-08-02,2809.04,ACC_8020,Booking for Dharma Provisions,VEND_27,JRN-4890,jenniferfreeman
GL_203,2026-08-19,1926.76,ACC_6010,Booking for Momcorp Industries,VEND_33,JRN-1849,hannahbrewer
GL_204,2026-08-03,4397.26,ACC_6020,Booking for Massive Dynamic,VEND_19,JRN-1489,bwest
GL_205,2026-08-12,1083.29,ACC_8010,Booking for Lestrade & Co,VEND_37,JRN-6904,phillipsrichard
GL_206,2026-08-19,4862.1,ACC_7020,Booking for Bluth Builders,VEND_13,JRN-7241,kevinperkins
GL_207,2026-08-08,837.78,ACC_8020,Booking for Dharma Provisions,VEND_27,JRN-6437,wtran
GL_208,2026-08-25,3321.93,ACC_5010,Booking for Buy n Large Corp,VEND_20,JRN-3045,jbarajas
GL_209,2026-08-02,4865.54,ACC_5020,Booking for Dunder Supplies,VEND_10,JRN-5580,michael74
GL_210,2026-08-15,4875.32,ACC_8010,Booking for Initech Solutions,VEND_06,JRN-3882,john13
GL_211,2026-08-14,3345.98,ACC_6020,Booking for Vandelay Trading,VEND_09,JRN-7136,david82
GL_212,2026-08-13,2318.51,ACC_6020,Booking for Prestige Worldwide,VEND_15,JRN-3990,javierwashington
GL_213,2026-08-04,905.44,ACC_8010,Booking for Multi Corp,VEND_30,JRN-7441,tina34
GL_214,2026-08-10,2370.4,ACC_7020,Booking for Soylent Industries,VEND_08,JRN-7456,michaelturner
GL_215,2026-08-10,4149.29,ACC_5020,Booking for Pawnee Power,VEND_39,JRN-3299,joshuamccann
GL_217,2026-08-01,4765.27,ACC_6020,Booking for Sirius Cybernetics,VEND_29,JRN-5819,heidi27
GL_218,2026-08-26,3989.67,ACC_5020,Booking for Soylent Industries,VEND_08,JRN-5040,salasaudrey
GL_219,2026-08-08,740.5,ACC_8020,Booking for Primatech Paper,VEND_26,JRN-3180,vmendoza
GL_220,2026-08-01,4986.09,ACC_8010,Booking for Bluth Builders,VEND_13,JRN-5411,tammyking
GL_221,2026-08-03,4534.88,ACC_7020,Booking for Wernham Hogg,VEND_22,JRN-4640,ewilson
GL_222,2026-08-02,922.05,ACC_8010,Booking for Lestrade & Co,VEND_37,JRN-2689,kvasquez
GL_223,2026-08-22,2190.65,ACC_6020,Booking for Delos Hospitality,VEND_23,JRN-7633,hernandezlisa
GL_224,2026-08-20,3133.44,ACC_6020,Booking for Sterling Cooper,VEND_16,JRN-4057,christopher31
GL_225,2026-08-03,1470.9,ACC_7020,Booking for Vandelay Trading,VEND_09,JRN-6535,yobrien
GL_226,2026-08-26,195.7,ACC_8020,Booking for Weyland Industries,VEND_25,JRN-8918,kimberlyjames
GL_227,2026-08-19,2561.73,ACC_5020,Booking for Weyland Industries,VEND_25,JRN-6625,levans
GL_228,2026-08-26,3914.84,ACC_7020,Booking for Wayne Enterprises,VEND_04,JRN-3747,ntorres
GL_229,2026-08-04,1314.5,ACC_7020,Booking for Sterling Cooper,VEND_16,JRN-3815,lynchjody
GL_230,2026-08-24,373.95,ACC_8010,Booking for Prestige Worldwide,VEND_15,JRN-4631,colleenbaker
GL_231,2026-08-13,1838.54,ACC_8020,Booking for Hooli Services,VEND_12,JRN-4641,mooreglenn
GL_232,2026-08-19,2861.67,ACC_6020,Booking for Lestrade & Co,VEND_37,JRN-9679,moorericky
GL_233,2026-08-16,2756.41,ACC_8010,Booking for Hooli Services,VEND_12,JRN-7062,ocarter
GL_234,2026-08-17,2442.15,ACC_5010,Booking for Wernham Hogg,VEND_22,JRN-4662,jasmine71
GL_235,2026-08-11,3612.99,ACC_8010,Booking for Oceanic Freight,VEND_21,JRN-2740,sandrafrench
GL_236,2026-08-12,4806.74,ACC_8010,Booking for Tyrell Systems,VEND_24,JRN-7409,ronaldstephens
GL_237,2026-08-11,769.35,ACC_8020,Booking for Pied Piper Tech,VEND_11,JRN-9022,rebekahserrano
GL_238,2026-08-16,3280.98,ACC_8010,Booking for Hooli Services,VEND_12,JRN-5306,brownlaura
GL_239,2026-08-22,2985.86,ACC_7020,Booking for Hooli Services,VEND_12,JRN-6314,scott74
GL_240,2026-08-24,108.81,ACC_6010,Booking for Lestrade & Co,VEND_37,JRN-6250,gbender
GL_241,2026-08-19,258.68,ACC_8020,Booking for Pawnee Power,VEND_39,JRN-5707,mkim
GL_242,2026-08-08,3234.27,ACC_6020,Booking for Umbrella Corp,VEND_07,JRN-4673,prestonjessica
GL_243,2026-08-11,922.65,ACC_5010,Booking for Initech Solutions,VEND_06,JRN-4181,anthony39
GL_244,2026-08-09,1127.45,ACC_6010,Booking for Cyberdyne Systems,VEND_05,JRN-2965,keyemily
GL_245,2026-08-24,106.28,ACC_6010,Booking for Weyland Industries,VEND_25,JRN-2854,barbara27
GL_246,2026-08-13,1821.03,ACC_6020,Booking for Weyland Industries,VEND_25,JRN-8933,lmoon
GL_247,2026-08-15,461.18,ACC_6010,Booking for Stark Logistics,VEND_03,JRN-1768,fwalters
GL_248,2026-08-06,4450.86,ACC_5020,Booking for Pied Piper Tech,VEND_11,JRN-9544,harrisonricky
GL_249,2026-08-25,251.87,ACC_6010,Booking for Pied Piper Tech,VEND_11,JRN-5409,elizabeth25
GL_250,2026-08-07,2105.47,ACC_5010,Booking for Sorin Systems,VEND_36,JRN-2409,ssteele
GL_251,2026-08-04,343.21,ACC_6020,Booking for Lestrade & Co,VEND_37,JRN-4443,jcervantes
GL_252,2026-08-14,529.38,ACC_6020,Booking for Pawnee Power,VEND_39,JRN-6039,gibsonleonard
GL_253,2026-08-03,2420.5,ACC_5010,Booking for Soylent Industries,VEND_08,JRN-6328,darrell68
GL_254,2026-08-21,2766.22,ACC_6020,Booking for Hooli Services,VEND_12,JRN-8433,sandovalamy
GL_255,2026-08-15,2378.78,ACC_5010,Booking for Prestige Worldwide,VEND_15,JRN-6353,hbrown
GL_256,2026-08-22,1784.58,ACC_8020,Booking for  Freight,VEND_35,JRN-6370,cindy77
GL_257,2026-08-17,2151.3,ACC_5020,Booking for  Freight,VEND_35,JRN-2756,harrisandrea
GL_258,2026-08-03,2034.54,ACC_5020,Booking for Stark Logistics,VEND_03,JRN-3842,samuel71
GL_259,2026-08-26,2900.28,ACC_6020,Booking for Gekko Capital,VEND_40,JRN-4513,dudleychelsea
GL_260,2026-08-15,947.11,ACC_6020,Booking for Pied Piper Tech,VEND_11,JRN-8796,jennifercollins
GL_261,2026-08-22,2233.43,ACC_8020,Booking for Dunder Supplies,VEND_10,JRN-9593,tranchristopher
GL_262,2026-08-18,2047.04,ACC_5010,Booking for Oceanic Freight,VEND_21,JRN-4901,murraydavid
